"Player";"Team";"Match";"Competition";"Position";"Position Group";"Minutes Played";"Birthdate";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Abdoull Tanko";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RF";"Wide Attacker";"62.25";"1998-05-12";"9660.7";"1710.4";"579.8";"219.8";"799.5";"44.8";"10.1";"54.9";"68.0";"8.7";"66.5";"15.9";"30.60"
"Filip Blažek";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RCB";"Central Defender";"98.46";"1998-03-11";"9374.8";"1218.5";"563.1";"183.7";"746.8";"42.0";"9.1";"51.2";"69.5";"3.7";"56.7";"11.0";"29.50"
"Dominik Plechatý";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RCB";"Central Defender";"98.46";"1999-04-18";"9583.2";"1183.7";"464.4";"128.9";"593.2";"39.3";"7.3";"46.6";"71.3";"6.4";"58.5";"8.2";"30.50"
"Marios Pourzitidis";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"LCB";"Central Defender";"98.46";"1999-05-08";"9119.7";"951.6";"298.0";"106.9";"404.9";"30.2";"4.6";"34.7";"70.4";"3.7";"53.9";"9.1";"27.80"
"Patrick Kpozo";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"LWB";"Full Back";"88.13";"1997-07-15";"9760.8";"1394.0";"736.3";"157.3";"893.6";"47.0";"9.2";"56.2";"79.7";"3.1";"65.4";"12.3";"28.60"
"Christián Frýdek";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RF";"Wide Attacker";"64.83";"1999-02-01";"10428.5";"1638.1";"713.6";"266.5";"980.1";"51.4";"18.0";"69.4";"102.7";"5.6";"75.0";"15.3";"27.30"
"Ľubomír Tupta";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"LF";"Wide Attacker";"64.83";"1998-03-27";"10128.6";"1586.8";"859.3";"359.6";"1218.9";"70.8";"19.4";"90.2";"98.6";"6.9";"81.9";"13.9";"30.20"
"Ahmad Ghali";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"LWB";"Full Back";"98.46";"2000-06-23";"10064.9";"1520.1";"629.8";"281.5";"911.3";"48.4";"12.8";"61.2";"87.8";"2.7";"65.8";"21.0";"29.70"
"Daniel Tetour";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RM";"Midfield";"71.25";"1994-07-17";"10678.7";"1970.5";"548.2";"79.6";"627.8";"48.0";"5.1";"53.1";"82.1";"1.3";"72.0";"10.1";"26.70"
"David Lischka";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"LCB";"Central Defender";"98.46";"1997-08-15";"8738.6";"1046.6";"327.2";"87.8";"415.0";"30.2";"3.7";"33.8";"68.6";"4.6";"59.4";"8.2";"27.10"
"Jan Juroška";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RWB";"Full Back";"71.25";"1993-03-02";"10272.0";"1735.6";"727.6";"118.7";"846.3";"58.1";"2.5";"60.6";"87.2";"6.3";"70.7";"20.2";"26.70"
"Filip Kaloč";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"DM";"Midfield";"71.25";"2000-02-27";"10011.8";"1422.3";"498.9";"73.3";"572.2";"39.2";"2.5";"41.7";"68.2";"2.5";"72.0";"11.4";"28.10"
"Mohamed Doumbia";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"LM";"Midfield";"98.46";"1998-12-25";"9920.5";"1713.9";"417.7";"75.9";"493.6";"40.2";"3.7";"43.9";"82.3";"2.7";"75.0";"11.9";"27.00"
"Ewerton Paixão Da Silva";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"LM";"Midfield";"98.46";"1996-12-28";"9564.9";"1491.8";"572.2";"154.5";"726.7";"37.5";"11.9";"49.4";"69.5";"3.7";"64.9";"13.7";"28.40"
"Ladislav Almási";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"CF";"Center Forward";"98.46";"1999-03-06";"8938.8";"928.7";"379.3";"107.9";"487.2";"38.4";"7.3";"45.7";"72.2";"3.7";"58.5";"14.6";"27.40"
"Filip Kubala";"FC Baník Ostrava";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"CF";"Center Forward";"98.46";"1999-09-02";"9943.3";"1305.3";"521.9";"121.6";"643.5";"52.1";"8.2";"60.3";"72.2";"2.7";"66.7";"15.5";"27.90"
"Matěj Chaluš";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"CB";"Central Defender";"82.43";"1998-02-02";"9003.3";"1041.6";"228.2";"53.5";"281.7";"20.7";"3.3";"24.0";"75.3";"4.4";"51.3";"15.3";"26.40"
"Michal Fukala";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RWB";"Full Back";"98.46";"2000-10-22";"9798.9";"1532.0";"519.2";"120.7";"639.9";"35.6";"6.4";"42.0";"72.2";"5.5";"64.0";"14.6";"27.80"
"Lukáš Červ";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"RM";"Midfield";"82.43";"2001-04-10";"10070.0";"1518.7";"533.9";"161.6";"695.5";"38.2";"3.3";"41.5";"75.3";"4.4";"72.1";"19.7";"28.40"
"Luka  Kulenović";"FC Slovan Liberec";"FC Slovan Liberec v FC Baník Ostrava";"CZE - First League";"CF";"Center Forward";"73.40";"1999-09-29";"9283.2";"1198.0";"560.4";"169.2";"729.6";"40.5";"8.6";"49.0";"77.2";"14.7";"66.2";"20.8";"27.80"
"Martin Dostál";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"RWB";"Full Back";"61.83";"1989-09-23";"10058.2";"1516.7";"540.0";"113.5";"653.6";"48.0";"8.7";"56.8";"83.0";"1.5";"75.7";"16.0";"26.50"
"Nemanja Tekijaški";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"LCB";"Central Defender";"100.38";"1997-03-02";"9353.3";"1223.0";"387.3";"104.9";"492.2";"26.9";"5.4";"32.3";"64.6";"2.7";"55.6";"13.4";"30.20"
"David Štěpánek";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"RB";"Full Back";"100.38";"1997-03-30";"9929.8";"1472.2";"496.7";"132.7";"629.4";"44.8";"8.1";"52.9";"64.6";"9.0";"59.2";"16.1";"28.00"
"Jakub Martinec";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"RCB";"Central Defender";"100.38";"1998-03-13";"9586.4";"1241.8";"381.1";"133.6";"514.6";"21.5";"6.3";"27.8";"59.2";"1.8";"53.8";"8.1";"31.20"
"Lukáš  Hůlka";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"RCB";"Central Defender";"100.38";"1995-03-31";"9435.7";"1171.8";"418.7";"130.0";"548.7";"28.7";"7.2";"35.9";"59.2";"1.8";"52.0";"9.9";"29.90"
"Vakhtang Chanturishvili";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"AM";"Midfield";"100.38";"1993-08-05";"10099.2";"1665.0";"763.0";"249.3";"1012.3";"47.5";"9.0";"56.5";"62.8";"9.0";"66.3";"17.0";"28.90"
"Matyáš Kozák";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"CF";"Center Forward";"69.55";"2001-05-04";"10165.9";"1274.6";"726.0";"366.2";"1092.2";"53.1";"28.5";"81.5";"73.8";"10.4";"67.3";"28.5";"29.60"
"Adam Jánoš";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"LDM";"Midfield";"84.85";"1992-07-20";"10469.1";"1644.1";"551.6";"55.2";"606.7";"38.2";"2.1";"40.3";"67.9";"7.4";"64.7";"11.7";"25.40"
"Vojtěch Smrž";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"RDM";"Midfield";"100.38";"1997-01-20";"10189.8";"1605.8";"450.1";"85.2";"535.3";"28.7";"5.4";"34.1";"58.3";"4.5";"57.4";"6.3";"26.30"
"Miloš Kratochvíl";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"RDM";"Midfield";"100.38";"1996-04-26";"10595.0";"1935.7";"554.1";"152.4";"706.5";"36.8";"7.2";"43.9";"61.9";"3.6";"69.0";"9.9";"27.80"
"Dominik Pleštil";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"RW";"Wide Attacker";"67.58";"1999-08-09";"9134.5";"1080.1";"408.8";"143.8";"552.7";"32.0";"6.7";"38.6";"67.9";"2.7";"66.6";"16.0";"29.50"
"Jan Vondra";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"CB";"Central Defender";"100.38";"1995-09-13";"8893.3";"1186.2";"298.6";"71.7";"370.3";"21.5";"3.6";"25.1";"58.3";"2.7";"52.0";"9.9";"26.80"
"Jan Chramosta";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"LW";"Wide Attacker";"67.58";"1990-10-12";"9879.0";"1486.2";"446.1";"117.2";"563.3";"40.0";"6.7";"46.6";"70.6";"5.3";"61.3";"13.3";"27.60"
"Matěj Hybš";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"LCB";"Central Defender";"100.38";"1993-01-03";"9416.9";"1361.9";"392.7";"120.1";"512.9";"28.7";"5.4";"34.1";"64.6";"5.4";"55.6";"12.6";"29.60"
"Michal Beran";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"AM";"Midfield";"100.38";"2000-08-22";"11348.2";"2132.1";"740.6";"160.5";"901.1";"49.3";"5.4";"54.7";"66.3";"5.4";"57.4";"9.0";"27.00"
"Jan Kovařík";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"LWB";"Full Back";"69.55";"1988-06-19";"9411.5";"1220.3";"486.6";"104.8";"591.4";"33.6";"6.5";"40.1";"72.5";"3.9";"63.4";"18.1";"26.70"
"Matouš Krulich";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"CF";"Center Forward";"75.86";"2005-04-19";"9968.1";"1594.5";"592.0";"195.8";"787.8";"47.5";"11.9";"59.3";"72.4";"4.7";"60.5";"14.2";"28.20"
"Erik Prekop";"FC Bohemians 1905";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"CF";"Center Forward";"61.83";"1997-10-08";"10409.0";"1471.6";"617.2";"183.4";"800.6";"43.7";"8.7";"52.4";"78.6";"5.8";"65.5";"16.0";"29.40"
"David Houska";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"LDM";"Midfield";"100.38";"1993-06-29";"10240.9";"1665.9";"337.1";"45.7";"382.8";"26.0";"2.7";"28.7";"64.6";"3.6";"65.5";"12.6";"24.90"
"Matěj Polidar";"FK Jablonec";"FK Jablonec v FC Bohemians 1905";"CZE - First League";"LB";"Full Back";"100.38";"1999-12-20";"10859.5";"1722.4";"607.0";"317.4";"924.4";"39.5";"14.3";"53.8";"72.6";"3.6";"64.6";"15.2";"29.90"
"Žan Zaletel";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LCB";"Central Defender";"85.14";"1999-09-16";"9397.5";"1243.1";"410.1";"115.2";"525.4";"32.8";"6.3";"39.1";"70.8";"6.3";"64.5";"12.7";"28.10"
"Kian Hansen";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"RCB";"Central Defender";"98.87";"1989-03-03";"8814.3";"1041.4";"288.6";"71.0";"359.6";"22.8";"3.6";"26.4";"61.0";"4.6";"54.6";"8.2";"27.10"
"Ibrahim Osman";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"CF";"Center Forward";"78.52";"2004-11-29";"10552.0";"1549.7";"622.4";"345.0";"967.4";"47.0";"21.8";"68.8";"72.2";"11.5";"65.3";"14.9";"31.30"
"Nicolas Bürgy";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"RCB";"Central Defender";"98.87";"1995-08-07";"10261.7";"1591.2";"558.0";"181.1";"739.2";"39.1";"10.9";"50.1";"71.9";"7.3";"61.9";"10.9";"28.50"
"Srdjan Kuzmić";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"RB";"Full Back";"98.87";"2004-01-16";"10288.1";"1354.5";"629.0";"280.4";"909.4";"46.4";"11.8";"58.3";"78.3";"7.3";"74.6";"19.1";"29.70"
"Andreas Rædergård Schjelderup";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LF";"Wide Attacker";"72.22";"2004-06-01";"11180.8";"1769.6";"731.5";"235.5";"967.0";"54.8";"15.0";"69.8";"83.5";"7.5";"84.7";"12.5";"27.70"
"Isak Steiner Jensen";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"RF";"Wide Attacker";"85.14";"2003-12-23";"10913.3";"1634.2";"616.3";"252.6";"868.9";"50.7";"13.7";"64.5";"78.2";"15.9";"77.2";"13.7";"31.10"
"Martin Frese";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LB";"Full Back";"98.87";"1998-01-04";"10133.3";"1353.6";"569.8";"186.6";"756.4";"46.4";"13.7";"60.1";"74.6";"8.2";"77.4";"14.6";"28.80"
"Marcus Ingvartsen";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"RF";"Wide Attacker";"87.89";"1996-01-04";"11405.4";"2226.2";"878.6";"222.2";"1100.8";"65.5";"11.3";"76.8";"92.2";"8.2";"82.9";"27.6";"27.00"
"Jeppe Grønning";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"DM";"Midfield";"98.87";"1991-05-24";"11929.3";"2279.4";"562.6";"58.3";"620.8";"42.8";"1.8";"44.6";"81.0";"1.8";"87.4";"11.8";"25.40"
"Daniel Svensson";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LM";"Midfield";"98.87";"2002-02-12";"12217.9";"2485.1";"899.4";"173.9";"1073.2";"70.1";"10.0";"80.1";"77.4";"3.6";"86.5";"10.0";"26.60"
"Jean-Manuel Mbom";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LM";"Midfield";"98.87";"2000-02-24";"11127.3";"1745.0";"757.4";"256.7";"1014.1";"51.9";"10.9";"62.8";"75.6";"2.7";"81.9";"17.3";"29.50"
"Adamo Nagalo";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LCB";"Central Defender";"98.87";"2002-09-22";"9246.7";"1037.7";"263.1";"77.4";"340.4";"20.0";"3.6";"23.7";"64.6";"6.4";"53.7";"5.5";"27.60"
"Renato  Barbosa dos Santos Júnior";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LF";"Wide Attacker";"69.44";"2002-06-05";"10583.8";"1564.4";"674.0";"278.7";"952.6";"55.7";"14.3";"70.0";"79.1";"6.5";"75.2";"20.7";"30.00"
"Mario Dorgeles";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"RM";"Midfield";"87.89";"2004-08-07";"11304.0";"1973.3";"730.1";"193.5";"923.7";"51.2";"9.2";"60.4";"79.9";"6.1";"87.0";"15.4";"29.60"
"Oliver Villadsen";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"RB";"Full Back";"98.87";"2001-11-16";"10167.0";"1491.0";"601.7";"284.9";"886.6";"51.9";"10.0";"61.9";"74.6";"6.4";"69.2";"10.9";"28.50"
"Jeppe Tverskov";"FC Nordsjaelland";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"DM";"Midfield";"98.87";"1993-03-12";"10567.5";"1594.8";"435.1";"122.0";"557.1";"33.7";"5.5";"39.1";"68.3";"4.6";"71.0";"10.9";"26.20"
"Anosike Victor Ementa";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"CF";"Center Forward";"69.44";"2002-05-03";"11506.6";"1591.6";"427.7";"127.0";"554.7";"35.0";"5.2";"40.2";"64.8";"7.8";"62.2";"14.3";"27.20"
"Oliver Bundgaard Kristensen";"Viborg FF";"Viborg FF v FC Nordsjaelland";"DEN - Superliga";"LB";"Full Back";"98.87";"2001-06-15";"10414.6";"1731.4";"682.7";"295.8";"978.6";"49.2";"11.8";"61.0";"80.1";"10.0";"73.7";"20.9";"30.60"
"Kévin Ahoueke Denkey";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"CF";"Center Forward";"100.62";"2000-11-30";"9254.0";"1179.8";"509.8";"143.1";"653.0";"46.5";"8.9";"55.5";"76.0";"8.1";"68.0";"19.7";"29.00"
"Boris Popović";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RCB";"Central Defender";"100.62";"2000-02-26";"9057.2";"1082.3";"375.7";"130.6";"506.3";"30.4";"4.5";"34.9";"67.1";"4.5";"58.1";"8.1";"28.90"
"Tsuyoshi Watanabe";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RCB";"Central Defender";"100.62";"1997-02-05";"9388.2";"1383.7";"453.5";"53.7";"507.2";"38.5";"2.7";"41.1";"77.8";"4.5";"63.5";"11.6";"25.10"
"Andrew Hjulsager";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RF";"Wide Attacker";"81.79";"1995-01-15";"10937.8";"1891.6";"713.0";"194.8";"907.8";"62.7";"9.9";"72.6";"92.4";"4.4";"82.5";"20.9";"29.60"
"Hugo Cuypers";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LF";"Wide Attacker";"100.62";"1997-02-07";"9130.6";"1210.2";"525.0";"227.2";"752.2";"51.0";"9.8";"60.8";"73.3";"6.3";"58.1";"22.4";"30.20"
"Hyun-Seok Hong";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"AM";"Midfield";"63.22";"1999-06-16";"11387.4";"2421.5";"549.5";"78.3";"627.8";"55.5";"5.7";"61.2";"94.0";"7.1";"86.8";"24.2";"25.40"
"Gift Emmanuel Orban";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"CF";"Center Forward";"63.22";"2002-07-17";"9291.8";"1237.1";"639.2";"448.4";"1087.6";"44.1";"24.2";"68.3";"86.8";"14.2";"69.8";"21.4";"30.80"
"Archie Brown";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LB";"Full Back";"63.22";"2002-05-28";"10743.9";"1484.8";"741.7";"300.4";"1042.1";"62.6";"22.8";"85.4";"99.7";"11.4";"85.4";"28.5";"29.50"
"Sven Kums";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RDM";"Midfield";"100.62";"1988-02-26";"10152.1";"1831.8";"424.9";"25.9";"450.8";"42.0";"2.7";"44.7";"89.4";"3.6";"86.8";"10.7";"24.40"
"Leonardo da Silva Lopes";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RDM";"Midfield";"100.62";"1998-11-30";"10356.0";"1911.4";"669.1";"347.9";"1017.0";"48.3";"17.9";"66.2";"87.7";"7.2";"77.8";"13.4";"30.80"
"Thibo Somers";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"RW";"Wide Attacker";"100.62";"1999-03-16";"10946.3";"1786.2";"949.9";"361.4";"1311.3";"74.2";"17.0";"91.2";"92.1";"8.9";"76.9";"30.4";"29.50"
"Jordan Torunarigha";"KAA Gent";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LCB";"Central Defender";"100.62";"1997-08-07";"8998.2";"1053.7";"339.0";"153.8";"492.8";"32.2";"7.2";"39.4";"70.7";"5.4";"59.9";"12.5";"28.80"
"Yann-Alexandre Gboho Gnantin";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LW";"Wide Attacker";"86.19";"2001-01-14";"10632.1";"1666.6";"862.5";"217.2";"1079.7";"75.2";"13.6";"88.8";"91.9";"8.4";"71.0";"26.1";"27.90"
"Christiaan Ravych";"KSV Cercle Brugge";"KSV Cercle Brugge v KAA Gent";"BEL - Pro League";"LB";"Full Back";"100.62";"2002-07-30";"9260.3";"1225.4";"532.2";"160.1";"692.3";"44.7";"8.9";"53.7";"75.1";"8.1";"68.0";"15.2";"28.20"
