"Player";"Team";"Match";"Competition";"Position";"Position Group";"Minutes Played";"Birthdate";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Lucas Barcelos Damasceno";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"LW";"Wide Attacker";"93.95";"1998-07-19";"10104.5";"1232.9";"590.1";"236.6";"826.7";"49.8";"17.2";"67.1";"105.4";"6.7";"92.0";"27.8";"28.90"
"Jin-Hyuk Kim";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RCB";"Central Defender";"102.59";"1993-06-03";"9916.8";"957.1";"243.0";"22.8";"265.8";"23.7";"2.6";"26.3";"94.7";"6.1";"79.0";"10.5";"25.90"
"Jin-Yong Lee";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RM";"Midfield";"62.04";"2001-05-01";"11769.3";"1996.1";"242.3";"81.2";"323.5";"33.4";"5.8";"39.2";"107.4";"2.9";"98.6";"20.3";"25.90"
"Seung-Wook Park";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RB";"Full Back";"102.59";"1997-05-07";"9212.3";"1155.4";"501.8";"139.5";"641.3";"45.6";"9.7";"55.3";"105.3";"7.9";"107.0";"12.3";"28.40"
"Chan-Yong Park";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"LCB";"Central Defender";"102.59";"1996-01-27";"8164.0";"656.2";"278.1";"66.7";"344.8";"18.4";"2.6";"21.1";"79.8";"7.0";"71.9";"10.5";"29.50"
"Oberdan Alionço de Lima";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RDM";"Midfield";"102.59";"1995-07-30";"10299.2";"1488.7";"400.9";"103.5";"504.4";"31.6";"5.3";"36.8";"115.8";"5.3";"99.1";"13.2";"27.90"
"Jae-Won Hwang";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RWB";"Full Back";"102.59";"2002-08-16";"10274.7";"1286.1";"598.3";"208.8";"807.1";"55.3";"13.2";"68.4";"113.2";"7.0";"87.7";"21.1";"28.40"
"Young-Jun Goh";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"AM";"Midfield";"102.59";"2001-07-09";"10021.2";"1317.7";"433.4";"136.0";"569.4";"46.5";"7.9";"54.4";"78.1";"10.5";"83.3";"20.2";"28.90"
"Marcos Vinicius Serrato";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"LM";"Midfield";"62.04";"1994-02-08";"11413.9";"2013.5";"269.8";"34.8";"304.6";"30.5";"4.4";"34.8";"107.4";"5.8";"92.8";"16.0";"24.30"
"Sung-Won Jang";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"LWB";"Full Back";"88.47";"1997-06-17";"10848.4";"1448.6";"567.7";"187.2";"754.8";"43.7";"12.2";"56.0";"115.0";"8.1";"93.6";"15.3";"30.30"
"César Fernando Silva dos Santos";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"CF";"Center Forward";"102.59";"1989-11-29";"9480.7";"931.7";"339.5";"86.9";"426.4";"35.1";"7.0";"42.1";"86.0";"9.7";"88.6";"17.5";"27.10"
"Jeong-Un Hong";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"CB";"Central Defender";"102.59";"1994-11-29";"9236.9";"779.9";"174.6";"32.5";"207.0";"16.7";"1.8";"18.4";"92.1";"5.3";"77.2";"8.8";"28.00"
"Jin-Woo Jo";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"LCB";"Central Defender";"102.59";"1999-11-17";"9325.5";"750.1";"234.2";"70.2";"304.4";"21.9";"2.6";"24.6";"93.9";"2.6";"81.6";"10.5";"27.30"
"José Joaquim de Carvalho";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"CF";"Center Forward";"85.02";"1997-03-06";"9994.0";"1014.1";"367.3";"158.8";"526.1";"31.8";"10.6";"42.3";"88.9";"8.5";"81.5";"15.9";"30.10"
"Jae-Hyun Go";"Daegu FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RW";"Wide Attacker";"102.59";"1999-03-05";"10977.4";"1758.9";"682.5";"183.4";"865.9";"61.4";"10.5";"71.9";"122.8";"4.4";"99.1";"36.0";"28.70"
"Chang-Rae Ha";"Pohang Steelers FC";"Pohang Steelers FC v Daegu FC";"KOR - K League 1";"RCB";"Central Defender";"102.59";"1994-10-16";"8213.1";"722.0";"201.8";"44.7";"246.5";"17.5";"2.6";"20.2";"86.9";"7.0";"72.8";"8.8";"27.90"
